id,type,label,door,clicks,keyboard,prereq,registry,dispatch,render,states,honesty,click_interpretation,first_arrival
kind:note,kind,Note,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:451-460; web/src/desk/pullouts/registry.ts:29,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,"web/src/desk/pullouts/NotePullout.tsx:48-105,430-470",all,"ownership pending/error, working/refining, failure, finish",pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:decision,kind,Decision,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:462-471; web/src/desk/pullouts/registry.ts:30,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,web/src/desk/pullouts/DecisionPullout.tsx:20-,read; write unknown,status/edit paths present; refusal not verified,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:directory,kind,Zone,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:473-483; web/src/desk/pullouts/registry.ts:35,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,web/src/desk/pullouts/DirectoryPullout.tsx:19-90,read/empty/N/A,members are local store facts,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:kb,kind,Knowledge,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:485-494; web/src/desk/pullouts/registry.ts:30,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,web/src/desk/pullouts/KbPullout.tsx:22-120,empty/read; editor write unknown,No entries is explicit; Save refusal not in component,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:project,kind,Project,object row|Object menu|project Search,1|3|0,⌘K+query+Enter,object exists; project scope,web/src/lib/primitives.ts:496-505,web/src/desk/store/compositorSlice.ts:154-163 -> openSurfaceWhenReady,web/src/pages/cores/ProjectMemoryCore.tsx:1-14 -> web/src/features/project-room/ProjectRoomCore.tsx:2010-2038,degraded collapse,Finding 1,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:repository,kind,Repository,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:507-516,web/src/desk/store/compositorSlice.ts:154-158 -> openRepositoryWindow,components/RepoWindow.tsx,unknown,window route only inspected,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:recipe,kind,Agent,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:518-527; web/src/desk/pullouts/registry.ts:32,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,web/src/desk/pullouts/RecipePullout.tsx:21-90,working/failure/receipt,thread action busy and write receipt,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:chain,kind,Sequence,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:529-539; web/src/desk/pullouts/registry.ts:33,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,web/src/desk/pullouts/ChainPullout.tsx:12-77,empty/read; edit,local object; no async read claim,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:workflow,kind,Workflow,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:541-550; web/src/desk/pullouts/registry.ts:34,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,web/src/desk/pullouts/WorkflowPullout.tsx:13-82,read; write unknown,Save closes locally; persistence refusal not visible here,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:coder,kind,Coder session,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:552-561; web/src/desk/pullouts/registry.ts:35,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,web/src/desk/pullouts/CoderPullout.tsx:22-154,all action,send/select failed and retry,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:game,kind,Game,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:563-572; web/src/desk/pullouts/registry.ts:40,web/src/desk/store/compositorSlice.ts:163-169 case none,none,none,C3 no-op Open,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:roadmap,kind,Roadmap,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:574-583,web/src/desk/store/compositorSlice.ts:154-158 -> openRoadmapWindow,components/RoadmapWindow.tsx:52-,unknown,window route only inspected,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:story,kind,Story,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:585-594; web/src/desk/pullouts/registry.ts:44,web/src/desk/store/compositorSlice.ts:163-169 case none,none,none,C3 no-op Open,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:workbench,kind,Workbench,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:596-605,web/src/desk/store/compositorSlice.ts:154-158 -> openWorkbenchWindow,components/WorkbenchWindow.tsx:932-,run states; home all,home core has loading/empty/error,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:intelligence,kind,Intelligence,object row|Dock/mark|Search,1|1|0,⌘K+query+Enter,object exists or app dock,web/src/lib/primitives.ts:607-616; web/src/desk/pullouts/registry.ts:45,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,web/src/desk/pullouts/IntelligencePullout.tsx:79-,read/navigation,child states not exhaustive,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:people,kind,People,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:618-627; web/src/desk/pullouts/registry.ts:46,web/src/desk/store/compositorSlice.ts:154-163 -> openSurfaceWhenReady,"web/src/pages/cores/PeopleCore.tsx:130-147,224-238",all,surface declaration bypasses pullout registry,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:thread,kind,Thread,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:629-639; web/src/desk/pullouts/registry.ts:47,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,"web/src/desk/pullouts/ThreadPullout.tsx:1192-1210,1608-1735",all,loading/streaming/failed/turn done,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:layout,kind,Layout,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:641-650; web/src/desk/pullouts/registry.ts:47,web/src/desk/store/compositorSlice.ts:163-169 case none,none,none,C3 no-op Open,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
