classification,control,line,path,reason,tag,type
face violation,<button>,165,web/src/desk/components/DeskFilingStrip.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                       key={knowledge.id}                       type=""button""                       className={`desk-chip quiet${active ? "" in-zone"" : """"}`}                       aria-pressed={active}                       onClick={() => void toggleRelationship(""knowledge"", knowledge.id, active)}                     >",
face violation,<button>,190,web/src/desk/components/DeskFilingStrip.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                         type=""button""                         className={`desk-chip quiet${active ? "" in-zone"" : """"}`}                         aria-label={`${active ? ""Remove from"" : ""Assign to""} ${project.name} Project`}                         aria-pressed={active}                         onClick={() => void toggleRelationship(""projects"", project.i",
face violation,<button>,200,web/src/desk/components/DeskFilingStrip.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                         type=""button""                         className=""desk-chip quiet""                         aria-label={`Inspect ${project.name} Project`}                         onClick={() => useDesk.getState().openToolInspector(""project"", String(project.id))}                       >",
face violation,<button>,154,web/src/desk/components/DeskMenu.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button       type=""button""       role={role}       aria-label={ariaLabel}       aria-disabled={disabled || undefined}       aria-checked={ariaChecked}       className={disabled ? ""is-ghost"" : undefined}       onClick={() => {         if (!disabled) onSelect();       }}     >",
face violation,<button>,322,web/src/desk/components/DeskMenu.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               key={entry.id}               type=""button""               role=""menuitem""               aria-haspopup=""menu""               aria-expanded={openSub === entry.id}               className={openSub === entry.id ? ""is-subopen"" : undefined}               onPointerEnter={(e) => {                 const el = e.currentTarget;                 if (in",
face violation,<button>,402,web/src/desk/components/DeskMenu.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             key={entry.id}             type=""button""             role={role}             aria-disabled={ghost ? true : undefined}             aria-checked={ariaChecked}             className={ghost ? ""is-ghost"" : undefined}             onPointerEnter={() => {               if (intent.current) clearTimeout(intent.current);               // Sliding ont",
face violation,<button>,567,web/src/desk/components/DeskMenu.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             role=""menuitem""             className=""desk-menu-back""             onClick={() => setOpenSub(null)}           >",
face violation,<button>,89,web/src/desk/components/DeskMenuBar.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             className={`desk-verbbar-title${open === m.id ? "" on"" : """"}`}             aria-haspopup=""menu""             aria-expanded={open === m.id}             // Pointer-down (not click): the WorkMenu's own outside-press             // close runs first on the document capture phase; the             // render-time `open` he",
face violation,<button>,96,web/src/desk/components/DeskSortableTable.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                       type=""button""                       className={`desk-sortable-table-sort${isCurrent ? "" is-current"" : """"}`}                       onClick={() =>                         onSort(                           column.key,                           isCurrent && sort.dir === ""asc"" ? ""desc"" : ""asc"",                         )              ",
face violation,<button>,16,web/src/desk/components/DeskStartActions.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         type=""button""         className=""desk-chip desk-start-action""         onClick={() => openSurfaceOr(""dictate"", ""/dictation"")}       >",
face violation,<button>,23,web/src/desk/components/DeskStartActions.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         type=""button""         className={           ""desk-chip desk-start-action"" +           (recording === ""recording"" ? "" is-recording"" : """")         }         disabled={recording === ""busy""}         aria-pressed={recording === ""recording""}         onClick={() => {           if (recording === ""recording"") {             void useDesk.getState().stop",
face violation,<button>,274,web/src/desk/components/DeskToolInspector.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                       type=""button""                       className=""desk-chip quiet""                       onClick={() => openPullout(resource.resource_ref)}                     >",
face violation,<button>,293,web/src/desk/components/DeskToolInspector.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             className=""desk-chip""             onClick={() =>               openSurfaceOr(""dictate"", ""/dictation"", `project:${project.id}`)             }           >",
face violation,<button>,329,web/src/desk/components/DeskToolInspector.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                 type=""button""                 className=""desk-chip""                 disabled={!target.readiness.available}                 onClick={() => void createThread({ title: target.model, profile_override: target.model }).then((t) => { openPullout(`thread:${t.id}`); void refresh(); })}               >",
face violation,<button>,338,web/src/desk/components/DeskToolInspector.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               onClick={() => openSurfaceOr(""configure-runs-on"", ""/profiles"")}             >",
face violation,<button>,387,web/src/desk/components/DeskToolInspector.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                   type=""button""                   className=""desk-chip""                   disabled={busy}                   onClick={() => void propose()}                 >",
face violation,<button>,459,web/src/desk/components/DeskToolInspector.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                     type=""button""                     className=""desk-chip""                     disabled={busy}                     onClick={() => void decide(""approved"")}                   >",
face violation,<button>,468,web/src/desk/components/DeskToolInspector.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                     type=""button""                     className=""desk-chip quiet""                     disabled={busy}                     onClick={() => void decide(""rejected"")}                   >",
face violation,<button>,479,web/src/desk/components/DeskToolInspector.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                   type=""button""                   className=""desk-chip""                   disabled={busy}                   onClick={() => void decide(""approved"")}                 >",
face violation,<button>,503,web/src/desk/components/DeskToolInspector.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                       type=""button""                       className=""desk-chip quiet""                       onClick={() => openPullout(boundSource.ref)}                     >",
face violation,<button>,515,web/src/desk/components/DeskToolInspector.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             className=""desk-chip quiet""             onClick={() =>               openSurfaceOr(                 ""configure-integration"",                 ""/settings"",                 `integration:${integration.id}`,               )             }           >",
face violation,<button>,501,web/src/desk/components/DeskToolShelf.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         ref={launchRef}         type=""button""         className=""desk-chip desk-tools-launch""         aria-expanded={open}         aria-controls=""desk-tool-shelf""         aria-keyshortcuts=""Control+K Meta+K""         onClick={() => usePalette.getState().toggle()}       >",
face violation,<button>,566,web/src/desk/components/DeskToolShelf.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                           id={`desk-palette-option-${row.id}`}                           type=""button""                           role=""option""                           aria-selected={isSel}                           className={                             ""desk-deck-row"" +                             (isSel ? "" is-selected"" : """") +                  ",
face violation,<button>,838,web/src/desk/components/DeskWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             className=""desk-light desk-light-close""             aria-label={`Close ${name}`}             onClick={requestClose}           >",
face violation,<button>,846,web/src/desk/components/DeskWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             className=""desk-light desk-light-min""             aria-label={`Minimize ${name}`}             onClick={requestMinimize}           >",
face violation,<button>,855,web/src/desk/components/DeskWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-light desk-light-max""               aria-label={maximized ? `Restore ${name}` : `Maximize ${name}`}               onClick={() => useDesk.getState().toggleMaximizePanel(id)}             >",
face violation,<button>,38,web/src/desk/components/EmptyDesk.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         type=""button""         className=""desk-chip desk-start-action is-primary""         onClick={() => void useDesk.getState().createPrimitive(""note"")}       >",
face violation,<button>,48,web/src/desk/components/EmptyDesk.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         type=""button""         className=""desk-chip desk-start-action""         disabled={seeding}         onClick={() => {           setSeeding(true);           void useDesk             .getState()             .seedDesk()             .finally(() => setSeeding(false));         }}       >",
face violation,<button>,360,web/src/desk/components/FirstWords.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         type=""button""         className={`desk-first-talk is-${state}`}         disabled={           (!supported && !canRetryRetainedAudio) ||           state === ""transcribing"" ||           handoffRunning ||           saving ||           handoffPending ||           retentionPending ||           Boolean(failureContract && !failureContract.retry)     ",
face violation,<button>,458,web/src/desk/components/FirstWords.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             className=""btn btn--secondary""             onClick={() => {               void tracker.current?.event(""setup_selected"");               // HS-169-03 N-1: open the one-screen Door, not the old setup wizard.               openSurfaceOr(""project-setup"", ""/"");             }}           >",
face violation,<button>,142,web/src/desk/components/GlassDropLayer.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                 type=""button""                 onClick={() => {                   setState({ phase: ""idle"" });                   openSurfaceOr(""review-meetings"", ""/history"");                 }}               >",
face violation,<button>,151,web/src/desk/components/GlassDropLayer.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                 type=""button""                 className=""is-quiet""                 onClick={() => setState({ phase: ""idle"" })}               >",
face violation,<button>,165,web/src/desk/components/GlassDropLayer.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                 type=""button""                 className=""is-quiet""                 onClick={() => setState({ phase: ""idle"" })}               >",
face violation,<button>,205,web/src/desk/components/GroundingSection.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                     type=""button""                     className=""desk-ground-line is-press""                     onClick={bandPress(() => void toggleMeeting(row))}                   >",
face violation,<button>,225,web/src/desk/components/GroundingSection.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                         type=""button""                         className={                           ""desk-ground-line is-sub"" +                           (sel.hasIntel ? "" is-press"" : "" is-off"")                         }                         data-on={sel.includeIntel || undefined}                         onClick={bandPress(                        ",
face violation,<button>,259,web/src/desk/components/GroundingSection.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                         type=""button""                         className={                           ""desk-ground-line is-sub"" +                           (sel.transcriptLines === 0 ? "" is-off"" : "" is-press"")                         }                         data-on={sel.includeTranscript || undefined}                         onClick={bandPress(      ",
face violation,<button>,296,web/src/desk/components/GroundingSection.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                           key={a.id}                           type=""button""                           className=""desk-ground-line is-sub is-press""                           data-on={a.on || undefined}                           onClick={bandPress(() =>                             mutate(row.id, (m) => ({                               ...m,           ",
face violation,<button>,350,web/src/desk/components/GroundingSection.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                         type=""button""                         className=""desk-ground-line is-press""                         onClick={bandPress(() => void toggleResource(row))}                       >",
face violation,<button>,45,web/src/desk/components/InfoWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         type=""button""         className=""info-name""         title=""Rename""         onClick={() => {           setDraft(o.title);           setEditing(true);         }}       >",
face violation,<button>,178,web/src/desk/components/InfoWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                   key={String(z.id)}                   type=""button""                   className=""desk-chip quiet""                   onClick={() => openZoneWindow(String(z.id))}                 >",
face violation,<button>,198,web/src/desk/components/InfoWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                   key={f.ref}                   type=""button""                   className=""desk-chip quiet""                   onClick={() => f.resolved && openPullout(f.ref)}                 >",
face violation,<button>,239,web/src/desk/components/InfoWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                         type=""button""                         className=""desk-chip quiet""                         onClick={() => {                           s.handoff!.action(o);                           closeInfoWindow(refId);                         }}                       >",
library implementation,<button>,164,web/src/desk/components/MicButton.tsx,surface library implementation,"<button         type=""button""         className={           transport             ? ""desk-mic gadget-transport-key is-unsupported""             : ""desk-mic is-unsupported""         }         disabled         title={reason}         aria-label={`${label} (unavailable: ${reason})`}         onClick={(e) => e.stopPropagation()}       >",
library implementation,<button>,376,web/src/desk/components/MicButton.tsx,surface library implementation,"<button         type=""button""         className={           transport             ? `desk-mic gadget-transport-key is-${state}`             : `desk-mic is-${state}`         }         title={           failure             ? failureCode               ? `${failureCode} · ${DICTATION_FAILURES[failure].message}`               : DICTATION_FAILURES[failure].message",
face violation,<button>,80,web/src/desk/components/MissionControlConveyor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button       type=""button""       className={         ""desk-mc-pin"" +         (session.awaitingResponse ? "" awaiting"" : """") +         (session.stale ? "" stale"" : """") +         (armed ? "" armed"" : """") +         (manual ? "" manual"" : """")       }       title={         `${session.key}: watch live` +         (manual ? ""; manually pinned (not the correlator's verd",
face violation,<button>,158,web/src/desk/components/MissionControlConveyor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-mc-story-pick""               title={                 `${s.title} [${s.status}]` +                 (s.evidenceExists ? "" ·evidence"" : """")               }               onClick={() =>                 onPick(                   picked && picked.story === s.storyId                     ? null       ",
face violation,<button>,180,web/src/desk/components/MissionControlConveyor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                 type=""button""                 className=""desk-mc-evidence-open""                 title=""open the evidence in place""                 onClick={(ev) => {                   ev.stopPropagation();                   void useMissionControl                     .getState()                     .openEvidence(repoName, project.slug, s.storyId);    ",
face violation,<button>,470,web/src/desk/components/MissionControlConveyor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button           key={s.key}           type=""button""           className=""desk-mc-needs""           title={`${s.key}: ${s.lastAssistantText.slice(0, 200)}`}           onClick={() => useSteering.getState().openSession(s.key)}         >",
face violation,<button>,121,web/src/desk/components/ModeTabs.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             key={m.id}             type=""button""             role=""tab""             data-mode-tab             data-mode-id={m.id}             aria-selected={isActive}             aria-pressed={isActive}             className={`thread-mode-tab${isActive ? "" thread-mode-tab--active"" : """"}`}             tabIndex={isActive ? 0 : -1}             disabled=",
face violation,<button>,125,web/src/desk/components/Pullout.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button type=""button"" className=""btn btn--primary"" onClick={load}>",
face violation,<button>,146,web/src/desk/components/RailsPicker.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                     type=""button""                     className=""desk-ground-line is-press""                     onClick={(event) => {                       if (                         (event.target as HTMLElement).closest("".gadget-check"")                       )                         return;                       void toggle(r);                   ",
face violation,<button>,58,web/src/desk/components/RecordOrb.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         type=""button""         className={`desk-orb is-${state}`}         onClick={() => {           if (recording) {             void useDesk.getState().stopRecording();             return;           }           if (state !== ""idle"") return;           void useDesk.getState().startRecording();           // Recording never leaves the desk: the live win",
needs reading,<input>,160,web/src/desk/components/ScheduleCreateWindow.tsx,native datetime-local bypasses a named surface species; verify the bounded-value exception,"<input                   type=""datetime-local""                   aria-label=""When""                   value={dateTime}                   onChange={(e) => setDateTime(e.target.value)}                   style={{ width: ""100%"" }}                 />",datetime-local
face violation,<button>,308,web/src/desk/components/SessionPullout.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               key={p.paneId}               type=""button""               className={                 ""desk-panepicker-item"" + (p.active ? "" is-active"" : """")               }               onClick={() => {                 useSteering.setState({ attachedSession: p.session });                 useSteering.getState().openSession(`pane:${p.paneId}`);         ",
face violation,<button>,581,web/src/desk/components/SessionPullout.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button           type=""button""           className=""desk-chip""           onClick={() => void useSteering.getState().keepAsNote()}         >",
face violation,<button>,593,web/src/desk/components/SessionPullout.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             className=""desk-chip""             title={`propose a status flip for ${flipTarget.story}`}             onClick={() =>               useMissionControl                 .getState()                 .proposeFlip(                   flipTarget.repo,                   flipTarget.project,                   flipTarget.story",
face violation,<button>,614,web/src/desk/components/SessionPullout.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             className=""desk-chip quiet""             title=""clear the manual pin""             onClick={() => useSteering.getState().clearPin(sessionKey)}           >",
face violation,<button>,635,web/src/desk/components/SessionPullout.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               disabled={!pinInput.trim()}               onClick={() => {                 useSteering.getState().pinToStory(sessionKey, pinInput.trim());                 setPinInput("""");               }}             >",
face violation,<button>,768,web/src/desk/components/SessionPullout.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                   type=""button""                   className=""desk-chip quiet""                   onClick={() => void useSteering.getState().arm()}                 >",
face violation,<textarea>,470,web/src/desk/components/SessionPullout.tsx,UX-CANON B/T5: raw consumer control bypasses a surface species,"<textarea           className=""desk-steer-input""           value={text}           rows={2}           placeholder=""Steer""           onChange={(e) => setText(e.target.value)}           onKeyDown={(event) => {             if (event.key !== ""Escape"") return;             event.preventDefault();             event.stopPropagation();             setText("""");        ",
face violation,<button>,57,web/src/desk/components/SpeakerGlyph.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button       type=""button""       className={`thread-speaker-glyph${isSpeaking ? "" thread-speaker-glyph--active"" : """"}`}       data-testid=""speaker-glyph""       data-speaking={isSpeaking ? ""true"" : ""false""}       data-message-id={messageId}       onClick={handleClick}       onKeyDown={handleKeyDown}       aria-label={isSpeaking ? ""Stop speaking"" : ""Speak mes",
face violation,<textarea>,974,web/src/desk/components/ThreadComposer.tsx,UX-CANON B/T5: raw consumer control bypasses a surface species,"<textarea           ref={textareaRef}           className=""thread-composer-input""           placeholder=""Type a message...""           value={draft}           onChange={handleChange}           onSelect={handleSelect}           onKeyDown={handleKeyDown}           rows={1}           disabled={disabled || sending}           data-testid=""composer-input""          ",
face violation,<textarea>,1068,web/src/desk/components/ThreadComposer.tsx,UX-CANON B/T5: raw consumer control bypasses a surface species,"<textarea         ref={inputRef}         className=""thread-inline-editor-input""         value={text}         onChange={(e) => setText(e.target.value)}         onKeyDown={handleKeyDown}         onBlur={onCancel}         placeholder={placeholder}         rows={1}         data-testid=""inline-editor-input""       />",
face violation,<button>,158,web/src/desk/components/TrustWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             className=""desk-chip quiet""             onClick={() => {               useTrustWindow.getState().setOpen(false);               openSurfaceOr(""configure-settings"", ""/settings"");             }}           >",
face violation,<button>,191,web/src/desk/components/WorkbenchResourceful.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip""               onClick={() => void commit(true)}               disabled={!routines.length}             >",
face violation,<button>,199,web/src/desk/components/WorkbenchResourceful.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip""               data-tone=""warn""               onClick={() => void commit(false)}             >",
face violation,<button>,94,web/src/desk/components/WorkbenchTemplatePicker.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                 key={t.id}                 type=""button""                 className=""wb-picker-card""                 disabled={busy}                 onClick={() => void instantiate(t.id)}               >",
face violation,<button>,111,web/src/desk/components/WorkbenchTemplatePicker.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""wb-picker-card wb-picker-card-blank""               disabled={busy}               onClick={() => void createBlank()}             >",
face violation,<button>,178,web/src/desk/components/WorkbenchWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button       type=""button""       className=""wb-config-strip""       onClick={onClick}       aria-label=""Expand configuration""     >",
face violation,<button>,319,web/src/desk/components/WorkbenchWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         type=""button""         className=""wb-config-collapse desk-chip quiet""         onClick={onCollapse}         aria-label=""Collapse configuration""       >",
face violation,<button>,422,web/src/desk/components/WorkbenchWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             role=""radio""             aria-checked={startMode === ""manual""}             className=""desk-chip""             onClick={() => selectStartMode(""manual"")}           >",
face violation,<button>,431,web/src/desk/components/WorkbenchWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             role=""radio""             aria-checked={startMode === ""schedule""}             className=""desk-chip""             onClick={() => selectStartMode(""schedule"")}           >",
