classification,line,marker,path,reason
sanctioned,570,"className=""desk-menu-back""",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,574,"<span className=""desk-menu-glyph"" aria-hidden=""true"">",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,577,"<span className=""desk-menu-label"">{sub.label}</span>",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,603,"<span className=""desk-menu-ghost-hint"">{collapsedReason}</span>",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,608,"className=""desk-menu-list desk-work-menu desk-work-submenu is-below""",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,609,"role=""menu""",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,119,"className=""desk-verbbar-menu""",web/src/desk/components/DeskMenuBar.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
needs reading,554,"role=""listbox""",web/src/desk/components/DeskToolShelf.tsx,candidate marker needs a local semantic read
sanctioned,877,"className=""desk-head-menu""",web/src/desk/components/DeskWindow.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
needs reading,258,"role=""listbox""",web/src/desk/components/InletAutocomplete.tsx,candidate marker needs a local semantic read
needs reading,269,"role=""listbox""",web/src/desk/components/InletAutocomplete.tsx,candidate marker needs a local semantic read
needs reading,298,"role=""listbox""",web/src/desk/components/InletAutocomplete.tsx,candidate marker needs a local semantic read
needs reading,310,"role=""listbox""",web/src/desk/components/InletAutocomplete.tsx,candidate marker needs a local semantic read
needs reading,949,"role=""listbox""",web/src/desk/components/ThreadComposer.tsx,candidate marker needs a local semantic read
sanctioned,304,"className=""desk-dock-menu""",web/src/desk/components/window/Dock.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,315,"className=""desk-world-menu""",web/src/desk/gl/WorldStage.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
needs reading,430,"className=""desk-zone-rename-row is-overlay""",web/src/desk/gl/WorldStage.tsx,candidate marker needs a local semantic read
needs reading,416,"{more && thought ? <section className=""surface-aerogel thought-more-menu"" aria-label=""More thought actions"">",web/src/desk/pullouts/NotePullout.tsx,candidate marker needs a local semantic read
needs reading,206,"return createPortal(<div className=""desk-next thought-context-overlay"">{picker}</div>, document.body);",web/src/desk/pullouts/ThoughtContextPicker.tsx,portal/overlay boundary requires an ownership and escape-path read
needs reading,633,"<div role=""listbox"" aria-label=""Review proposals"">",web/src/features/project-room/review/ReviewPosture.tsx,candidate marker needs a local semantic read
