row_id,rule,thing_or_job,names_before,names_after,closed,site_before,site_after,anchor_text,fence,shot
10,F21 / T4,a commitment's provenance line,MTG · X · SEG 4,Meeting · X · Segment 4,yes,web/src/features/project-room/RoomPeopleSection.tsx:151,web/src/features/project-room/RoomPeopleSection.tsx:160,return `Meeting · ${source.label}${seg}`;,web/src/features/project-room/__tests__/provenanceWords202.test.ts,(no fixture route mints a Room person + Watch)
11,F06,a meeting result (Settings hub Meetings row),INTELLIGENCE ON/OFF,SUMMARY ON/OFF,yes,web/src/pages/cores/settingsPrefs.tsx:512,web/src/pages/cores/settingsPrefs.tsx:516,label={`SUMMARY ON${hub.meetings.auto,web/src/pages/cores/__tests__/settingsSummaryName202.test.tsx,settings-hub-1440.png; settings-hub-393.png
12,F06,a meeting result (Settings meetings module),Intelligence / Auto-run intelligence,Summary / Auto-run the summary,yes,web/src/pages/cores/SettingsCore.tsx:1470,web/src/pages/cores/SettingsCore.tsx:1473,"<GadgetRow label=""Summary"">",tests/e2e/test_hs172_settings_meetings_glass.py:100,settings-meetings-1440.png; settings-meetings-393.png
12b,F06,a meeting result (Settings advanced sheet),Intelligence,Summary,yes,web/src/pages/cores/SettingsCore.tsx:1689,web/src/pages/cores/SettingsCore.tsx:1693,"<GadgetGroup label=""Summary"">",tests/e2e/test_hs172_settings_meetings_glass.py:100,settings-meetings-1440.png
13,U3 (accessible name),an empty zone (list face),"<name> zone, 0 items",<name> zone,yes,web/src/desk/components/DeskListView.tsx:214,web/src/desk/components/DeskListView.tsx:220,"countToken(row.count, ""item"", ""items"")",web/src/desk/components/__tests__/zeroCounters202.test.tsx,floor-list-zone-1440.png; floor-list-zone-393.png
14,U3 (text),an empty zone cell (list face),0 ITEMS,EMPTY,yes,web/src/desk/components/DeskListView.tsx:243,web/src/desk/components/DeskListView.tsx:251,"countToken(row.count, ""ITEM"") ?? ""EMPTY""",web/src/desk/components/__tests__/zeroCounters202.test.tsx,floor-list-zone-1440.png; floor-list-zone-393.png
15,U3 (accessible name),an empty zone (spatial Floor),"<name> zone, 0 items",<name> zone,yes,web/src/desk/gl/WorldStage.tsx:358,web/src/desk/gl/WorldStage.tsx:364,"countToken(z.count, ""item"", ""items"")",web/src/desk/components/__tests__/zeroCounters202.test.tsx,"(walk-facts.json floor_zone, both widths)"
16,U3,a fresh Ask session,SESSION · 0 TURNS,SESSION,yes,web/src/desk/components/AskPanel.tsx:292,web/src/desk/components/AskPanel.tsx:298,"head={[""SESSION"", countToken(turnCount, ""TURN"")]",web/src/desk/components/__tests__/zeroCounters202.test.tsx,ask-session-1440.png; ask-session-393.png
17,U3,the Speak gear door's run count,Runs 0,(row withheld),yes,web/src/pages/cores/dictation/Readiness.tsx:128,web/src/pages/cores/dictation/Readiness.tsx:134,{runs > 0 ? (,web/src/pages/cores/dictation/__tests__/readinessZero202.test.tsx,speak-door-1440.png; speak-door-393.png
18,A.8 scope / RAW ruling,the Speak gear door's wire fold,Wire details,RAW · READINESS,yes,web/src/pages/cores/dictation/Readiness.tsx:132,web/src/pages/cores/dictation/Readiness.tsx:144,"<FoldGadget title=""RAW · READINESS"">",web/src/pages/cores/dictation/__tests__/readinessZero202.test.tsx,speak-door-1440.png; speak-door-393.png
