row_type,key,canonical,variant,status,source,evidence,active_occurrences,parked_occurrences
product-term,runs_on,Runs on,canonical-plural,observed,docs/product-language.json:101,web/src/desk/components/WorkbenchWindow.tsx:393; web/src/desk/pullouts/shared/CapabilitySection.tsx:177; web/src/lib/productLanguage.ts:32; web/src/pages/cores/ModelLibraryCore.tsx:329; web/src/pages/cores/SetupCore.tsx:163; web/src/pages/cores/dictation/SpeakFace.tsx:858,6,0
product-term,runs_on,Runs on,legacy-alias:profile,contextual-overlap,docs/product-language.json:101,web/src/pages/cores/SettingsCore.tsx:1718,0,0
product-term,proposed_action,Proposed action,canonical-singular,observed,docs/product-language.json:107,web/src/desk/components/DeskToolInspector.tsx:412; web/src/lib/productLanguage.ts:33; web/src/lib/productLanguage.ts:33; web/src/pages/cores/history/useMeetingData.tsx:305,4,0
product-term,proposed_action,Proposed actions,canonical-plural,observed,docs/product-language.json:107,web/src/desk/components/DeskToolInspector.tsx:412; web/src/lib/productLanguage.ts:33; web/src/lib/productLanguage.ts:33; web/src/pages/cores/history/useMeetingData.tsx:305,4,0
product-term,review,Review,canonical-singular,observed,docs/product-language.json:113,web/src/desk/pullouts/views/DecisionsView.tsx:256; web/src/features/project-room/ProjectRoomCore.tsx:768; web/src/features/project-room/_parked/setup/SetupInterview.tsx:83; web/src/features/project-room/_parked/setup/SetupRoot.tsx:80; web/src/features/project-room/_parked/setup/model.ts:700; web/src/lib/productLanguage.ts:34; web/src/lib/productLanguage.ts:34; web/src/pages/cores/CadenceCore.tsx:578,12,3
product-term,review,Reviews,canonical-plural,observed,docs/product-language.json:113,web/src/desk/pullouts/views/DecisionsView.tsx:256; web/src/features/project-room/ProjectRoomCore.tsx:768; web/src/features/project-room/_parked/setup/SetupInterview.tsx:83; web/src/features/project-room/_parked/setup/SetupRoot.tsx:80; web/src/features/project-room/_parked/setup/model.ts:700; web/src/lib/productLanguage.ts:34; web/src/lib/productLanguage.ts:34; web/src/pages/cores/CadenceCore.tsx:578,12,3
product-term,approval,Approval,canonical-singular,observed,docs/product-language.json:119,web/src/lib/productLanguage.ts:35; web/src/lib/productLanguage.ts:35,2,0
product-term,approval,Approvals,canonical-plural,observed,docs/product-language.json:119,web/src/lib/productLanguage.ts:35; web/src/lib/productLanguage.ts:35,2,0
product-term,grant,Grant,canonical-singular,observed,docs/product-language.json:125,web/src/desk/components/SessionPullout.tsx:97; web/src/lib/productLanguage.ts:36; web/src/lib/productLanguage.ts:36,3,0
product-term,grant,Grants,canonical-plural,observed,docs/product-language.json:125,web/src/desk/components/SessionPullout.tsx:97; web/src/lib/productLanguage.ts:36; web/src/lib/productLanguage.ts:36,3,0
product-term,receipt,Receipt,canonical-singular,observed,docs/product-language.json:131,web/src/desk/components/AttentionDrawer.tsx:107; web/src/desk/components/PrReceiptsSection.tsx:178; web/src/desk/components/WorkbenchAutomations.tsx:75; web/src/desk/pullouts/shared/CapabilitySection.tsx:214; web/src/lib/productLanguage.ts:37; web/src/lib/productLanguage.ts:37,6,0
product-term,receipt,Receipts,canonical-plural,observed,docs/product-language.json:131,web/src/desk/components/AttentionDrawer.tsx:107; web/src/desk/components/PrReceiptsSection.tsx:178; web/src/desk/components/WorkbenchAutomations.tsx:75; web/src/desk/pullouts/shared/CapabilitySection.tsx:214; web/src/lib/productLanguage.ts:37; web/src/lib/productLanguage.ts:37,6,0
positioning-row,,Home,"""the dashboard"", ""the runtime page""",stale-rule,docs/internal/POSITIONING.md:155,web/src/desk/components/DeskMenu.tsx:48,1,0
positioning-row,,Meetings (the mode + its nav label),"""History"", ""the history tab""",observed,docs/internal/POSITIONING.md:156,web/src/desk/applications.ts:108; web/src/desk/chair/ChairHome.tsx:2096; web/src/desk/chair/_parked/lanes/MeetingsLane.tsx:124; web/src/desk/components/DeskToolInspector.tsx:260; web/src/desk/components/GlassDropLayer.tsx:149; web/src/desk/components/GroundingSection.tsx:195; web/src/features/project-room/recall/model.ts:14; web/src/lib/productLanguage.ts:14,15,1
positioning-row,,Studio (the advanced tier),"""the advanced panel"", ""power tools""",stale-rule,docs/internal/POSITIONING.md:157,,0,0
positioning-row,,voice typing,"""basic dictation"", ""simple mode""",observed,docs/internal/POSITIONING.md:158,web/src/desk/components/FirstWords.tsx:354; web/src/desk/components/FirstWords.tsx:397; web/src/pages/cores/RuntimeDocsCore.tsx:14,3,0
positioning-row,,the dictation pipeline,"""intelligent typing"", ""DIR"" (user-facing), ""smart dictation""",observed,docs/internal/POSITIONING.md:159,web/src/pages/cores/dictation/Readiness.tsx:75,1,0
positioning-row,,target profiles,"""destinations"", ""apps""",contradictory,docs/internal/POSITIONING.md:160,,0,0
positioning-row,,the dictation journal,"""the history tab"", ""the log""",not-observed,docs/internal/POSITIONING.md:161,,0,0
positioning-row,,the correction memory,"""the memory"", ""corrections store""",not-observed,docs/internal/POSITIONING.md:162,,0,0
positioning-row,,the learning digest,"""What HoldSpeak learned"" is its on-screen title; ""the digest"" after first use",observed,docs/internal/POSITIONING.md:163,web/src/pages/cores/dictation/Memory.tsx:55,1,0
positioning-row,,replay,"""re-run"", ""retry""",observed,docs/internal/POSITIONING.md:164,web/src/pages/cores/dictation/Journal.tsx:255; web/src/pages/cores/dictation/Journal.tsx:277,2,0
positioning-row,,voice commands,"""macros"", ""voice macros""",observed,docs/internal/POSITIONING.md:165,web/src/desk/applications.ts:367; web/src/pages/cores/CommandsCore.tsx:159; web/src/pages/cores/SettingsCore.tsx:1226,3,0
positioning-row,,activity pre-briefing,"""nudges"" (the cards are ""nudge cards"")",not-observed,docs/internal/POSITIONING.md:166,,0,0
positioning-row,,meeting intelligence,"""meeting AI"", ""intel"" (user-facing)",contradictory,docs/internal/POSITIONING.md:167,web/src/meetings/MeetingIntelRecovery.tsx:203,1,0
positioning-row,,meeting plugins,"""analyzers"", ""extractors""",not-observed,docs/internal/POSITIONING.md:168,,0,0
positioning-row,,actuators,"""actions"" (an actuator *proposes* an action)",observed,docs/internal/POSITIONING.md:169,web/src/pages/cores/SettingsCore.tsx:1675; web/src/pages/cores/SettingsCore.tsx:1676; web/src/pages/cores/SettingsCore.tsx:1752; web/src/pages/cores/SettingsCore.tsx:1753,4,0
positioning-row,,meeting aftercare,"""follow-up panel"", ""next moves""",observed,docs/internal/POSITIONING.md:170,web/src/components/AmbientLayer.tsx:169; web/src/desk/components/AttentionDrawer.tsx:147,2,0
positioning-row,,meeting import,"""upload"", standing alone",not-observed,docs/internal/POSITIONING.md:171,,0,0
positioning-row,,the archive,"""/history"" is the route; the surface is ""the archive""",observed,docs/internal/POSITIONING.md:172,web/src/desk/gl/atmosphereRegistry.ts:65; web/src/pages/cores/PeopleCore.tsx:739; web/src/pages/cores/PeopleCore.tsx:739,3,0
positioning-row,,desktop presence,"""the HUD"" after first use is fine",not-observed,docs/internal/POSITIONING.md:173,,0,0
positioning-row,,"Qlippy, the mascot","""the assistant"", ""the agent""",not-observed,docs/internal/POSITIONING.md:174,,0,0
positioning-row,,the spoken-symbol dictionary,"""custom symbols"", ""symbol macros"", ""vocabulary""",not-observed,docs/internal/POSITIONING.md:175,,0,0
positioning-row,,the spoken language setting,"""language mode"", ""locale""",not-observed,docs/internal/POSITIONING.md:176,,0,0
positioning-row,,the wake word,"""hotword"", ""voice activation""",observed,docs/internal/POSITIONING.md:177,web/src/pages/cores/SettingsCore.tsx:1279; web/src/pages/cores/SettingsCore.tsx:1330,2,0
positioning-row,,the armed window,"""listening window"", ""wake session""",observed,docs/internal/POSITIONING.md:178,web/src/pages/cores/SettingsCore.tsx:1339,1,0
positioning-row,,Send to Slack,"""Slack integration"", ""Slack connector"" (user-facing), ""Slack export""",not-observed,docs/internal/POSITIONING.md:179,,0,0
positioning-row,,AIPI-Lite,"""the companion device"" after first use",not-observed,docs/internal/POSITIONING.md:180,,0,0
positioning-row,,agents (tailored personas you author),"""bots"", ""assistants""",observed-needs-canonical-case,docs/internal/POSITIONING.md:181,web/src/desk/applications.ts:128; web/src/desk/applications.ts:129; web/src/desk/components/WorkbenchWindow.tsx:346; web/src/desk/components/WorkbenchWindow.tsx:349; web/src/desk/components/WorkbenchWindow.tsx:380; web/src/desk/components/WorkbenchWindow.tsx:388; web/src/lib/productLanguage.ts:27; web/src/pages/cores/CompanionCore.tsx:175,9,0
positioning-row,,coders (live coding sessions awaiting you),"""agents"" for this concept, ""companions"" (the word is retired: an agent is a persona you author; a coder is a live Claude or Codex session)",not-observed,docs/internal/POSITIONING.md:182,,0,0
positioning-row,,the iPad app,"""the companion"", ""the companion app""",not-observed,docs/internal/POSITIONING.md:183,,0,0
positioning-row,,Interview (repeatable Thread mode),"""the onboarding wizard"" for the entire capability; distinguish the Thought Workbench Interview pane",observed,docs/internal/POSITIONING.md:184,web/src/desk/components/InterviewPanel.tsx:52; web/src/features/project-room/_parked/setup/SetupInterview.tsx:44,1,1
positioning-row,,Places (Floor environment picker),"""desktop themes"" for this surface",observed,docs/internal/POSITIONING.md:185,web/src/design/AtmospherePreview.tsx:48; web/src/desk/applications.ts:52; web/src/desk/applications.ts:59; web/src/desk/components/window/RoomActions.tsx:44; web/src/desk/components/window/RoomActions.tsx:48; web/src/pages/cores/ChangePlacesCore.tsx:27; web/src/pages/cores/settingsWallpaper.tsx:36,7,0
positioning-row,,Settle in (temporary quiet Desk view),"""saved focus layout""",not-observed,docs/internal/POSITIONING.md:186,,0,0
positioning-row,,Threads (multi-turn desk conversations),"""chat"", ""chat app"", ""PersonaChat""",observed,docs/internal/POSITIONING.md:187,web/src/desk/pullouts/shared/ThreadsSection.tsx:27,1,0
positioning-row,,Automations (the watch/reaction surface),"""event triggers"", ""webhooks"", ""watches"" (except the Project-scoped Watches of Project Rooms)",not-observed,docs/internal/POSITIONING.md:188,,0,0
positioning-row,,Watches (Project-scoped),"""event triggers"", ""monitors"", ""subscriptions""",observed,docs/internal/POSITIONING.md:189,web/src/features/project-room/_parked/setup/ActivationReview.tsx:128; web/src/features/project-room/_parked/setup/ActivationReview.tsx:136; web/src/features/project-room/_parked/setup/SuggestionCards.tsx:106,0,3
positioning-row,,Resourceful (overnight bounded maintenance),"""maintenance mode"", ""idle work"", ""overnight tasks""",observed,docs/internal/POSITIONING.md:190,web/src/desk/components/WorkbenchResourceful.tsx:220,1,0
positioning-row,,"the Concierge (Settings, Models)","""the door"", ""the packs"", ""model setup wizard""",not-observed,docs/internal/POSITIONING.md:191,,0,0
positioning-row,,the arrival (the desk's home screen),"""the Chair Door"", ""the board"", ""the dashboard""",observed,docs/internal/POSITIONING.md:192,web/src/pages/cores/SetupCore.tsx:154,1,0
positioning-row,,Speak (the voice-typing window),"""DictationCore"", ""the cockpit"", ""the voice panel""",observed,docs/internal/POSITIONING.md:193,web/src/desk/applications.ts:78; web/src/desk/chair/_parked/hero/CaptureHero.tsx:296; web/src/desk/components/DeliveryTerminalWindow.tsx:102; web/src/desk/components/FirstWords.tsx:359; web/src/desk/components/FirstWords.tsx:398; web/src/desk/components/SessionPullout.tsx:465; web/src/desk/components/ThreadComposer.tsx:989; web/src/desk/components/ThreadComposer.tsx:1088,19,6
positioning-row,,Meetings (the meetings window),"""HistoryCore"", ""the history page""",observed,docs/internal/POSITIONING.md:194,web/src/desk/applications.ts:108; web/src/desk/chair/ChairHome.tsx:2096; web/src/desk/chair/_parked/lanes/MeetingsLane.tsx:124; web/src/desk/components/DeskToolInspector.tsx:260; web/src/desk/components/GlassDropLayer.tsx:149; web/src/desk/components/GroundingSection.tsx:195; web/src/features/project-room/recall/model.ts:14; web/src/lib/productLanguage.ts:14,15,1
positioning-row,,needs you (the cross-project headline),"""pending items"", ""action required"", ""to-do""",observed,docs/internal/POSITIONING.md:195,web/src/desk/components/MissionControlConveyor.tsx:100; web/src/desk/components/MissionControlConveyor.tsx:477; web/src/desk/components/MissionControlConveyor.tsx:608; web/src/desk/components/SystemShade.tsx:244; web/src/desk/components/SystemShade.tsx:246; web/src/desk/components/SystemShade.tsx:536; web/src/desk/processWindowReducer.ts:64; web/src/features/project-room/ProjectRoomCore.tsx:264,12,0
positioning-row,,the Heartbeat (the unattended sweep),"""the pulse"", ""the poller"", ""background sync""",not-observed,docs/internal/POSITIONING.md:196,,0,0
positioning-row,,the sweep (one Heartbeat evaluation pass),"""the tick"", ""the poll"", ""the check""",observed,docs/internal/POSITIONING.md:197,web/src/pages/cores/CadenceCore.tsx:100; web/src/pages/cores/CadenceCore.tsx:338; web/src/pages/cores/CadenceCore.tsx:426; web/src/pages/cores/SettingsCore.tsx:684,4,0
positioning-row,,Rhythm (the Settings module for the Heartbeat),"""cadence settings"", ""heartbeat config""",observed,docs/internal/POSITIONING.md:198,web/src/desk/applications.ts:193; web/src/pages/cores/settingsPrefs.tsx:51,2,0
positioning-row,,the shade (the system pull-down),"""the tray"", ""the notification panel"", ""the dropdown""",not-observed,docs/internal/POSITIONING.md:199,,0,0
positioning-row,,Run summary (the verb on an OFF meeting),"""process"", ""analyze"", ""run AI"", ""Run intelligence""",observed,docs/internal/POSITIONING.md:200,web/src/desk/chair/ChairHome.tsx:1941; web/src/pages/cores/history/CatalogRail.tsx:239; web/src/pages/cores/history/NeedsYouTable.tsx:99; web/src/pages/cores/history/helpers.ts:270,4,0
positioning-row,,a proposal (an extracted decision or action item awaiting Confirm),"""suggestion"", ""recommendation"", ""finding""",observed,docs/internal/POSITIONING.md:201,web/src/desk/components/PrReceiptsSection.tsx:164; web/src/pages/cores/history/MeetingReview.tsx:445,2,0
positioning-row,,Confirm (the verb that commits a proposal),"""accept"", ""approve"", ""apply""",observed,docs/internal/POSITIONING.md:202,web/src/desk/chair/ChairHome.tsx:1614; web/src/desk/components/SessionPullout.tsx:423; web/src/desk/components/WorkbenchWindow.tsx:1626; web/src/desk/voice/ProposalStrip.tsx:81; web/src/features/project-room/ProjectRoomCore.tsx:653; web/src/features/project-room/ProjectRoomCore.tsx:705; web/src/features/project-room/review/ReviewPosture.tsx:291; web/src/features/project-room/review/ReviewPosture.tsx:294,12,0
positioning-row,,the loop (capture to confirmed decision),"""the pipeline"", ""the workflow"", ""the auto-intel flow""",observed,docs/internal/POSITIONING.md:203,web/src/pages/cores/CadenceCore.tsx:609; web/src/pages/cores/settingsPrefs.tsx:521,2,0
positioning-row,,a suggested source (a repo or issue key mentioned in a transcript),"""a recommendation"", ""a detected source"", ""an inferred source""",not-observed,docs/internal/POSITIONING.md:204,,0,0
positioning-row,,the 1:1 card (the People Prep lens before a meeting),"""the person card"", ""the prep card"", ""the contact card""",not-observed,docs/internal/POSITIONING.md:205,,0,0
positioning-row,,People in the Room (the PEOPLE section in a project Room),"""room contacts"", ""project members"", ""room people section""",not-observed,docs/internal/POSITIONING.md:206,,0,0
positioning-row,,the steward's hand (the steward's bounded external actions),"""steward actions"", ""the hand"", ""steward effects""",not-observed,docs/internal/POSITIONING.md:207,,0,0
